fa,eng
گیت,git
جاوا,java
پایتون,python
مپ,map
گوگل,google
سی++,c++
++سی,c++
سی شارپ,c#
سی شارپ,#c
سویفت,swift
وب,web
آفیس,office
میکروسافت,microsoft
اندروید,andriod
وردپرس,wordpress
ورد,word
پاورپوینت,powerpoint
اکسل,excel
اچ‌تی‌ام‌ال, html
جاواسکریپت,javascript
لینوکس,linux
ابونتو,ubuntu
اسکیوال,sql
اپلیکیشن,application
سیسکو,cisco
ویندوز,windows
اسکرام,scrum
فتوشاپ, photoshop
ادوبی,adobe
افترافکت, after effect
ایلاستریتور, illustrator
پریمیر, premiere
متلب,matlab
اتوکد,autocad
اتوکد, auto cad
ویزیو,visio
فدورا,fedora
میکروسافت,ms
میکروسافت,مایکروسافت
کوبرنتیس,kubernetese
کوبرنتیز,kubernetese
داکر,docker
میکروسرویس,microservice
برنامه نویسی,programming
سرویس,service
امنیت,security
شی گرایی,object oriented
شیء گرایی,object oriented
شی,object
شیء,object
نرم‌افزار,software
نرم افزار,software
سخت‌افزار,hardware
سخت افزار,hardware
